code,name
931375,300质量低波
H50045,180两倍
931259,转债流动性策略
H50009,180通信
931529,国企数字经济
930715,CS朝阳88
931470,SHS云计算
931559,苏银理财长三角
H11054,装备产业
H11121,富国多空
932359,国新国企人工智能
932046,建行科技（长三角）
933000,沪深300(净)HKD(CNH)
930767,沪深300优选
931775,房地产
931672,风电产业
932022,中证红利(全)SGD
H30597,新材料
931834,华福福建100
H50013,沪珠三角
930914,港股通高股息
930915,港股通高股息CNY
932306,战略新兴100
930850,智能制造
704843,MSCI中国A股国际
H30106,H300金融服务
930633,中证旅游
931142,东证竞争
716567,MSCI中国A股国际通
932023,中证红利(净)SGD
931837,央企现代产业
H11050,AMAC综企
931382,智选300 ESG领先
931695,成渝经济圈
950049,G60成指
930748,沪深300USD
931053,高股息策略
932066,半导体行业精选
930955,红利低波100
931478,苏州绿色发展
931052,国信价值
930621,CSSW高铁
H30318,科技传媒通信150
133333,MSCIA指数
932266,国企战略新兴
931647,兴银理财均衡300
930749,沪深300USD(CNH)
931798,光伏龙头30
932047,中证REITs全收益
932038,央企科技引领
932315,中证红利质量
931718,高端造质量成长50
930903,中证A股
931151,光伏产业
932079,全指工业行业
931463,300 ESG
H50026,沪医药红
932263,苏州园区
H50037,上证城镇
930599,中证高装
932257,国新央企小盘
930712,CS物联网
930614,环保50
932076,全指地产
931725,中华联合优质成长
931648,500 ESG
931187,科技100
H50039,上证TMT
H30352,500价值
H30363,基本500
H50012,沪长三角
931698,医药50策略
H50017,沪信息业
931733,绿色能源
931772,碳中和60
931652,厦门指数
931593,科技领先
931461,电子50
931395,沪港深300
932021,中证红利SGD
H30455,沪港深500
930620,CSSW丝路
H50007,180金融地产
CESA80,中华 A80
931495,工业互联
H30065,AMAC电气
931521,高装细分50
H50019,上红回报
950081,180碳效
H30372,中证安全
931442,SHS科技100
H30064,AMAC运输
932222,中证2000净收益
931359,沪深300AUD(CNH)
950082,上海改革
H30403,300日报酬两倍
H30082,300两倍
930875,空天军工
931588,1000价值稳健
930882,CS珠三角
